nom_chaine,video_ID,video_titre,date_publi,delta_jour,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
Les Vidéos de Riles,5m0aYlMXZFk,LE MAROC SE FAIT DOUILLER ?! RONALDO AURAIT DU PRENDRE UN ROUGE ?!  (DEBRIEF COUPE DU MONDE),2018-06-25,1369,1066.0,9.98,2,4.99,33.7,61416,2520,682
Les Vidéos de Riles,Lx87LAcQjqE,CROATIE 3 - 0 ARGENTINE ! (DEBRIEF EN LIVE),2018-06-21,1373,4353.0,121.09,32,3.78,100.14,56345,1907,242
Les Vidéos de Riles,h7JxwurTdS8,COUPE DU MONDE EN LIVE (RUSSIE - ARABIE SAOUDITE),2018-06-14,1380,5471.0,36.29,11,3.3,23.88,68697,1502,85
Les Vidéos de Riles,NAcAQgz8m4k,(REACTION EN DIRECT) GAMEPLAY PES 2019 ! C'EST LENNNNT !!,2018-06-13,1381,1290.0,0,0,0,0.0,90629,2333,536
Les Vidéos de Riles,Hx8zPEh47ss,FIFA 19 GAMEPLAY ! LES GOALS SONT NAZES !!! (REACTION EN DIRECT),2018-06-10,1384,1348.0,4.0,2,2.0,10.68,245362,5423,863
Riding Zone,J6AdUTNWEso,EN DIRECT DE LA FINALE DE COUPE D'EUROPE DE SKI BIG AIR ! (Les Arcs Launchpad),2022-01-07,77,13936.0,0,0,0,0.0,82243,1420,24
Riding Zone,gAvAW7h4U7w,SCOOT ZONE #2 : L'actualité trott' freestyle avec Nathan Beauregard !,2021-12-01,114,4460.0,0,0,0,0.0,12435,592,13
Riding Zone,HAxaEvbrOU0,BIKE ZONE #2 : L'actualité vélo présenté par Hugo Messager ! (avec Antoni Villoni),2021-11-24,121,5744.0,0,0,0,0.0,19012,564,11
Riding Zone,-VoTeR-5WsQ,SCOOT ZONE #1 : L'actualité trott' freestyle avec le champion du monde Lucas Di Méglio !,2021-11-17,128,3803.0,0,0,0,0.0,17241,919,22
Riding Zone,F89ZS08y1Vk,"BIKE ZONE #1 : L'actualité vélo avec Léo Nobile, champion de street trial !",2021-11-10,135,5792.0,0,0,0,0.0,28741,1242,21
LeChefOtaku,yQ71jsj3ZZE,LIVE REACTION - DRAGON BALL AF Young Jijii,2020-05-02,692,7845.0,123.13,26,4.74,56.5,199691,4090,455
LeChefOtaku,08aYVlps0zA,"W.O.K. #7 : NICKY LARSON, BROLY et KINGDOM HEARTS III",2019-02-07,1142,7193.0,7.0,2,3.5,3.5,32486,400,78
LeChefOtaku,IVDq68EBrS8,CORONAVIRUS-LIVE ACTION-CHAINSAWMAN | W.O.K.,2020-03-04,751,7375.0,39.0,11,3.55,19.04,46041,1368,71
LeChefOtaku,zh2Es6UYkwY,W.O.K #4 : BORUTO DE NOUVEAU COOL ET SUPER SMASH BROS. DÉJÀ CRACKÉ ?!!,2018-11-29,1212,6765.0,10.49,2,5.25,5.58,26889,456,60
LeChefOtaku,H9vXRWW0kyE,"W.O.K. #6 : CREED II, HIGH SCORE GIRL, XBOX ""MAVERICK"", ...",2019-01-18,1162,8812.0,2.0,1,2.0,0.82,22285,342,16
LeChefOtaku,KdDhWlNpwnM,DBS BROLY TRAILER REACTION - ORACLE DE LA VERITé #LAPASSIONAVAITRAISON,2018-07-20,1344,2405.0,31.28,10,3.13,46.82,173601,3476,789
LeChefOtaku,A5ZHvTJqVQk,LIVE REACTION - LE MANGA DE TOYOTARO,2020-05-05,689,7516.0,65.0,22,2.95,31.13,252403,6166,407
LeChefOtaku,gVkAX-I0U-s,OUVERTURE DBS - 24 Boosters BATTLE EVOLUTION,2021-06-16,282,4276.0,68.57,10,6.86,57.73,34984,1283,65
