nom_chaine,video_ID,video_titre,date_publi,delta_jour,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
DeBunKer des Etoiles,mxlpdhwPOuE,Conspi-Actu ▲1,2021-04-25,350,5508.0,0.0,0,0.0,0.0,24457,1166,258
DeBunKer des Etoiles,AvgTxsIjSYY,Live #2 - Bilan : le virus du complot ?,2020-05-03,707,6217.0,0.0,0,0.0,0.0,24866,1163,1017
Cizayoxy,0PfTn5xnlV4,TERHAL OU MONORPAL ?,2020-03-21,750,5593.0,2.0,1,2.0,1.29,8440,344,24
Cizayoxy,XgCALkUYVrU,ON VEUT MEGA DARDAGNAN STRATEGIQUE,2018-11-30,1227,7014.0,0.99,1,0.99,0.51,2206,98,2
Cizayoxy,A7OIhrOjp4Y,RESET DES FOSSILES 6G HARMONY,2020-03-25,746,5168.0,0.0,0,0.0,0.0,4716,219,15
French Wargame Studio,6i2UIpQWCJk,Choix Des Armes 11 : On regarde vos figurines 4/8 - on recommence à la lettre G !,2020-05-02,708,2850.0,77.0,4,19.25,97.26,5177,193,2
French Wargame Studio,rTd4L9sNK3w,Codex Chaos Knights,2019-07-10,1005,10557.0,25.49,5,5.1,8.69,23138,755,27
French Wargame Studio,lxiQPwmXOHo,Peintres de l'extrême : NicoPrime VS Julien - Brute Orruk,2020-03-15,756,11130.0,242.28,16,15.14,78.37,33570,843,29
French Wargame Studio,M50JV0F2HmI,Warhammer 40.000 - Heachi  (WhiteScars) / TableTopNuts (Tyty) Pour lutter contre la mucoviscidose,2021-12-19,112,38586.0,211.99,11,19.27,19.78,23363,899,3
French Wargame Studio,OlSc75NxOeg,Warhammer AOS Live : Lumineth VS Orruk warclans,2021-04-22,353,11258.0,259.05,22,11.78,82.84,28125,1011,65
French Wargame Studio,f7IdYaMo-LU,On découvre ensemble les révélations de Gamesworkshop !,2021-01-23,442,9621.0,266.88,21,12.71,99.86,25325,1155,37
French Wargame Studio,X2QFF_6yhUE,Fat of War 3 : le plus gros tournoi français - Jour 2 partie 1,2019-03-17,1120,3887.0,0.0,0,0.0,0.0,5013,223,3
French Wargame Studio,uuAHdc_3k30,Choix Des Armes 11 : On regarde vos figurines 6/8 - on recommence à la lettre L !,2020-05-07,703,11644.0,52.0,6,8.67,16.08,6707,226,4
French Wargame Studio,GVVNU5SFgUk,Tales of the Rift - Rapport de bataille Feat Squig Herd,2021-10-20,172,10318.0,34.8,4,8.7,12.14,14600,727,48
French Wargame Studio,joheZIJDNuU,Joan Of Arc - Rapport de bataille en Live !,2019-10-10,913,11718.0,32.0,6,5.33,9.83,14646,477,24
French Wargame Studio,8FBlb9Qn4Vg,Direct depuis les SN légendes de Gibraltar,2021-11-05,156,683.0,0.0,0,0.0,0.0,7547,654,32
French Wargame Studio,zhWuKJyuKok,Choix Des Armes 6 : On regarde vos figurines 2/2,2019-04-07,1099,12966.0,99.44,10,9.94,27.61,12577,431,27
French Wargame Studio,S22GVtF9Vlc,Championnats du monde 2019 - jour 3 : France VS Australie,2019-08-11,973,17569.0,155.47,11,14.13,31.86,15148,639,9
Le Mecano Du Dimanche,JGa0nd8fmRw,Live #01 Actu et Questions,2020-04-11,729,5861.0,1.0,1,1.0,0.61,6741,253,32
