nom_chaine,video_ID,video_titre,date_publi,delta_jour,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
Tourdepriere semeur TV,l55yYEkM8dk,LA GUERRE DE MINUIT I POSSEDER LA PORTE DE SES ENNEMIS BY PROPHETESSE FRIDHA MANZIONI,2021-02-15,416,5386.0,138.52,6,23.09,92.59,3928,584.0,12
Tourdepriere semeur TV,Im0ob3EGEZQ,DEVANCER L'AURORE  I  ETRE PURIFIE  ( MON CORPS  )BY PASTEUR BIENVENU MANZIONI,2021-02-15,416,3443.0,55.47,2,27.73,58.0,2463,446.0,18
Tourdepriere semeur TV,egJgldFStzA,CULTE DE CÉLÉBRATION I  CROIRE À LA PUISSANCE DE DIEU BY PASTEUR BIENVENU MANZIONI,2021-02-14,417,11960.0,395.27,36,10.98,118.98,2469,280.0,13
Tourdepriere semeur TV,qsNjRrkwojA,DEVANCER L'AURORE  I  LE CRI DE MON COEUR BY PASTEUR BIENVENU MANZIONI,2021-02-12,419,4353.0,10.0,2,5.0,8.27,3190,513.0,37
Tourdepriere semeur TV,1rRC2nhj0pY,LA GUERRE DE MINUIT I  DETRUIRE LES FORTERESSES D'INFIRMITÉS ET DE MALADIES BY PROPH FRIDHA MANZIONI,2021-02-11,420,5589.0,142.0,3,47.33,91.47,3904,645.0,30
Tourdepriere semeur TV,mJFv9xG-r2M,PRIERE PPRS I MON SALUT D'ABORD BY PASTEUR BIENVENU MANZIONI,2021-02-11,420,5580.0,57.0,8,7.12,36.77,1741,294.0,31
Tourdepriere semeur TV,UC3A3a5FNlo,DEVANCER L'AURORE  I TOUCHER LE BORD DE SON VÊTEMENT BY PROPHETESSE FRIDHA MANZIONI,2021-02-11,420,5540.0,66.46,9,7.38,43.19,3726,637.0,51
Tourdepriere semeur TV,B6oOhzH-3X0,DEVANCER L'AURORE  I  LA RESTAURATION DE MES PENSEES BY PASTEUR BIENVENU MANZIONI,2021-02-10,421,4378.0,12.0,2,6.0,9.87,2580,544.0,22
Tourdepriere semeur TV,o_8bolDh1Lo,LA GUERRE DE MINUIT I PRIERE POUR LA GUERISON DE MA VIE BY PROPHETESSE FRIDHA MANZIONI,2021-02-09,422,5616.0,70.54,7,10.08,45.22,4574,604.0,20
Tourdepriere semeur TV,kJ8uxGlaW9E,PRIERE PPRS I C'EST LE MOMENT DE CHERCHER DIEU BY PROPHETESSE FRIDHA MANZIONI,2021-02-09,422,3423.0,7.0,2,3.5,7.36,2178,375.0,21
Tourdepriere semeur TV,Zxr_vuqERbk,DEVANCER L'AURORE  I SEIGNEUR JESUS DIS UN MOT BY PASTEUR BIENVENU MANZIONI,2021-02-09,422,5154.0,2.0,1,2.0,1.4,2593,562.0,58
Tourdepriere semeur TV,UKGgSXl6Cz8,LA GUERRE DE MINUIT  I PRIERE DE GUERISON DIVINE POUR MON CORPS BY PROPHETESSE FRIDHA M,2021-02-08,423,6066.0,1046.51,25,41.86,621.07,4954,689.0,18
Tourdepriere semeur TV,rxG_Xkx63s4,DEVANCER L'AURORE  I L' ALLIANCE DE DIEU POUR MOI BY PASTEUR BIENVENU MANZIONI,2021-02-08,423,4902.0,69.17,12,5.76,50.8,2535,548.0,17
Tourdepriere semeur TV,JD-pJ_Qiv8w,CULTE DES FAMILLES I  5 CAUSES DE MALADIES ET LEURS REMÈDES BY PROPHETESSE FRIDHA MANZIONI,2021-02-07,424,11962.0,601.11,44,13.66,180.91,3738,409.0,5
Tourdepriere semeur TV,vUbnHrzsbNM,DELIVRANCE PAR LA PAROLE I  RECEVOIR LA GUÉRISON BY PROPHETESSE FRIDHA MANZIONI,2021-02-05,426,6118.0,133.0,5,26.6,78.26,4066,590.0,42
Tourdepriere semeur TV,F21UhJwh9e8,DECLARATION PROPHETIQUE I  QUE MA DELIVRANCE PARLE MAINTENAT COMBLE BY PASTEUR BIENVENU MANZIONI,2021-02-05,426,4289.0,76.54,9,8.5,64.24,1951,255.0,4
Tourdepriere semeur TV,4lnj5DirueI,DEVANCER L'AURORE  I PERE PARDONNE MOI  BY PASTEUR BIENVENU MANZIONI,2021-02-05,426,5148.0,81.05,12,6.75,56.68,2581,532.0,15
Tourdepriere semeur TV,y8bNbAclibU,PRIERE PPRS  I UNE VIE QUI PORTE DU FRUIT BY PROPHETESSE FRIDHA MANZIONI,2021-02-04,427,4863.0,159.74,6,26.62,118.25,3200,414.0,24
Tourdepriere semeur TV,247U5xlr10M,DEVANCER L'AURORE  I JE ME LEVE BY PASTEUR BIENVENU MANZIONI,2021-02-04,427,3918.0,168.97,13,13.0,155.26,2570,498.0,11
Tourdepriere semeur TV,B5afw0EES9w,DEVANCER L'AURORE I ETERNEL MA FORTERESSE BY PROPH FRIDHA MANZIONI,2021-02-03,428,5126.0,191.1,8,23.89,134.21,4753,721.0,42
Tourdepriere semeur TV,mzs-9sa7fvA,INTERCESSION DE MINUIT I GUÉRIS-MOI SEIGNEUR BY PASTEUR BIENVENU MANZIONI,2021-02-02,429,5365.0,92.96,13,7.15,62.38,3242,502.0,8
Tourdepriere semeur TV,WydvEBO1bTs,DEVANCER L'AURORE  I MOIS DE LA GUERISON DIVINE BY PASTEUR BIENVENU MANZIONI,2021-02-02,429,5231.0,59.45,8,7.43,40.91,2767,485.0,24
Tourdepriere semeur TV,wQH5yYWcrqs,LA GUERRE DE MINUIT I COMMANDE AUX NUITS DE FEVRIER BY PROPHETESSE FRIDHA MANZIONI,2021-02-01,430,4545.0,388.75,22,17.67,307.92,4545,722.0,16
Tourdepriere semeur TV,V0yhppLVCxA,DEVANCER L'AURORE I COMMANDER LA MOIS DE FEVRIER BY PROPHETESSE FRIDHA MANZIONI,2021-02-01,430,5394.0,438.76,31,14.15,292.83,5616,869.0,64
Tourdepriere semeur TV,aY62Zu-ooTQ,CULTE DE CELEBRATION I L'INTERVENTION DIVINE BY PROPHETESSE FRIDHA MANZIONI,2021-01-31,431,10318.0,849.81,44,19.31,296.5,3298,382.0,12
Tourdepriere semeur TV,WwvkDpURD44,DELIVRANCE PAR LA PAROLE  I  ACTES 3 BY PROPHETESSE FRIDHA MANZIONI,2021-01-29,433,5743.0,238.75,8,29.84,149.66,3622,557.0,26
Tourdepriere semeur TV,lGdioWlh1Nc,DECLARATION PROPHETIQUE I  LE BONHEUR ET LA GRACE TE COMBLE BY PASTEUR BIENVENU MANZIONI,2021-01-29,433,3689.0,212.22,11,19.29,207.1,1905,248.0,17
Tourdepriere semeur TV,dHM1IZrkrLg,DEVANCER L'AURORE  I LA PUISSANCE DANS LA LOUANGE BY PASTEUR BIENVENU MANZIONI,2021-01-29,433,5421.0,129.44,16,8.09,85.96,2686,508.0,33
Tourdepriere semeur TV,7xQjMjIFwEE,LA GUERRE DE MINUIT I PRIERE POUR RECEVOIR LA BÉNÉDICTION BY PROPHETESSE FRIDHA MANZIONI,2021-01-28,434,5959.0,180.57,14,12.9,109.09,3582,588.0,11
Tourdepriere semeur TV,PqNM3CHYt4U,PPRS  I J'AI UNE GRANDE PROMESSE  2 PRIERE BY PROPHETESSE FRIDHA MANZIONI,2021-01-28,434,1811.0,176.96,2,88.48,351.77,1488,265.0,7
Tourdepriere semeur TV,ac4GpJdJ0A4,PPRS  I J'AI UNE GRANDE PROMESSE BY PROPHETESSE FRIDHA MANZIONI,2021-01-28,434,2450.0,0.0,0,0.0,0.0,1921,266.0,13
Tourdepriere semeur TV,6nZiSlyYmFg,DEVANCER L'AURORE  I MON AME BENIS L' ETERNEL BY PASTEUR BIENVENU MANZIONI,2021-01-28,434,5762.0,22.49,6,3.75,14.05,2774,516.0,36
Tourdepriere semeur TV,CZ-LKxaUBLE,DEVANCER L'AURORE I L'HEURE DES VRAIS ADORATEURS BY PROPHETESSE FRIDHA MANZIONI,2021-01-27,435,5237.0,87.02,13,6.69,59.82,3632,614.0,29
Tourdepriere semeur TV,0KlOOnDxfsc,LA GUERRE DE MINUIT I MON DESTIN NE SERA PAS ENTERRÉ BY PROPHETESSE FRIDHA MANZIONI,2021-01-26,436,5337.0,292.21,15,19.48,197.11,4505,756.0,32
Tourdepriere semeur TV,9E1jI5Aotec,PPRS PRIERE DE 12H I GARDE TON COEUR JESUS REVIENT BY PROPHETESSE FRIDHA MANZIONI,2021-01-26,436,4972.0,79.91,8,9.99,57.86,2564,408.0,29
Tourdepriere semeur TV,ZNJlAWa1xEA,DEVANCER L'AURORE  I A LA MONTAGNE DE L' ADORATIONI BY PASTEUR BIENVENU MANZIONI,2021-01-26,436,5131.0,28.99,6,4.83,20.34,2690,513.0,40
Tourdepriere semeur TV,yjFCjnmxszA,LA GUERRE DE MINUIT  I SORTIR DES SOUFFRANCES IMPOSÉES BY PROPHETESSE FRIDHA MANZIONI,2021-01-25,437,5692.0,146.82,26,5.65,92.86,5480,729.0,24
Tourdepriere semeur TV,Vdfcs6l6KzU,DEVANCER L'AURORE  I MON ÂME SOUPIRE APRES TOI BY PASTEUR BIENVENU MANZIONI,2021-01-25,437,4859.0,90.31,10,9.03,66.91,2710,618.0,30
Tourdepriere semeur TV,khXUsJoTa0c,CULTE DE CELEBRATION TPS I LA SOIF ET LE SOUPIR POUR DIEU BY PROPHETESSE FRIDHA MANZIONI,2021-01-24,438,11850.0,872.69,44,19.83,265.12,3040,345.0,8
Tourdepriere semeur TV,xNYfsmO5j6s,DEVANCER L'AURORE I LE VRAI SERVICE POUR DIEU BY PASTEUR BIENVENU MANZIONI,2021-01-22,440,5372.0,2.0,1,2.0,1.34,2796,437.0,47
Tourdepriere semeur TV,oeYdTEShzAQ,LA GUERRE DE MINUIT I PRIERE DE COMBAT POUR QUE L'ENNEMI S'INCLINE BY PROPHETESSE FRIDHA MANZIONI,2021-01-21,441,5654.0,125.21,21,5.96,79.72,11027,982.0,57
Tourdepriere semeur TV,6776Vzudazw,PPRS I JE VAINCRAI  BY PROPHETESSE FRIDHA MANZIONI,2021-01-21,441,5680.0,123.47,22,5.61,78.26,3443,532.0,23
